"","Herbarium","Accession","Genus","Phenology","DOY","elev.true","Latitude","Longitude","SpringTemp.Modern","SpringTemp.Historic","SpringPrec.Modern","SpringPrec.Historic","Anomaly","PPT.Anomaly","Year.Collected","Month.Collected","spec.epithet"
"152","RM",NA,"Clintonia","FLOWER",175,991,48.5761,-117.6815,9.96666666666667,9.46666666666667,187,179,0.5,8,1995,6,"uniflora"
"153","RM",NA,"Clintonia","FLOWER",175,1402,45.928611,-117.72,9.06666666666667,9.56666666666667,199,158,-0.5,41,2001,6,"uniflora"
"154","WTU","386325","Clintonia","FLOWER",178,884,48.6485,-117.7248,10.4333333333333,9.93333333333333,189,192,0.5,-3,1995,6,"uniflora"
"155","RM",NA,"Clintonia","FLOWER",196,1433,48.7216,-117.764,8.36666666666667,7.86666666666667,241,253,0.5,-12,1995,7,"uniflora"
"156","ID","108192","Clintonia","FLOWER",158,817,48.7662,-117.8075,12.1333333333333,10.3333333333333,177,153,1.8,24,1992,6,"uniflora"
"157","RM",NA,"Clintonia","FLOWER",159,1037,46.132444,-117.809,9.8,10.4,258,185,-0.600000000000001,73,2001,6,"uniflora"
"158","RM",NA,"Clintonia","FLOWER",156,732,48.2287,-117.8547,10.8666666666667,11.7333333333333,180,118,-0.866666666666669,62,1996,6,"uniflora"
"159","UBC","V109005","Clintonia","FLOWER",187,945,50.116667,-117.9,9.26666666666667,10.0666666666667,177,179,-0.800000000000001,-2,1959,7,"uniflora"
"160","WCW","17997","Clintonia","FLOWER",158,695,45.983333,-118.066667,12,12.1,178,205,-0.0999999999999996,-27,2002,6,"uniflora"
"161","UBC","V47059","Clintonia","FLOWER",187,1220,51.05,-118.133333,6.9,7.66666666666667,214,218,-0.766666666666667,-4,1953,7,"uniflora"
"162","UBC","V66625","Clintonia","FLOWER",160,457,49.783333,-118.15,12.8,11.8666666666667,97,158,0.933333333333332,-61,1957,6,"uniflora"
"163","UBC","V84891","Clintonia","FLOWER",170,470,49.783333,-118.15,11.1333333333333,11.7666666666667,148,158,-0.633333333333333,-10,1960,6,"uniflora"
"164","UBC","V219191","Clintonia","FLOWER",167,445,49.036033,-118.20313,12,12.9666666666667,204,129,-0.966666666666667,75,1996,6,"uniflora"
"165","UBC","V84863","Clintonia","FLOWER",172,715,49.95,-118.216667,9.76666666666667,10.4333333333333,154,166,-0.666666666666666,-12,1960,6,"uniflora"
"166","RM",NA,"Clintonia","FLOWER",197,1463,45.600556,-118.2425,6.86666666666667,7.6,219,199,-0.733333333333333,20,2001,7,"uniflora"
"167","RM",NA,"Clintonia","FLOWER",186,1433,48.8074,-118.3618,8.53333333333333,8.03333333333333,140,152,0.5,-12,1995,7,"uniflora"
"168","RM",NA,"Clintonia","FLOWER",204,1707,48.6051,-118.488,7.33333333333333,6.93333333333333,162,169,0.4,-7,1995,7,"uniflora"
"169","WTU","349626","Clintonia","FLOWER",191,1555,48.501308,-118.576813,6.63333333333333,7.63333333333333,123,157,-1,-34,1999,7,"uniflora"
"170","RM",NA,"Clintonia","FLOWER",191,1372,44.8775,-118.648333,7.6,8.26666666666667,111,129,-0.666666666666667,-18,2001,7,"uniflora"
"171","RM",NA,"Clintonia","FLOWER",160,1402,48.9792,-118.6684,8.13333333333333,7.66666666666667,141,146,0.466666666666666,-5,1995,6,"uniflora"
"172","RM",NA,"Clintonia","FLOWER",179,1098,48.8074,-118.7122,8.16666666666667,9.33333333333333,169,123,-1.16666666666667,46,1996,6,"uniflora"
"173","RM",NA,"Clintonia","FLOWER",180,1250,45.300556,-118.741111,7.2,8.06666666666667,150,157,-0.866666666666666,-7,2001,6,"uniflora"
"174","RM",NA,"Clintonia","FLOWER",181,1037,44.869444,-118.775833,10.1333333333333,10.1666666666667,142,121,-0.0333333333333332,21,2002,6,"uniflora"
"175","RM",NA,"Clintonia","FLOWER",154,1067,48.5032,-118.8146,9.96666666666667,9.7,108,116,0.266666666666666,-8,1995,6,"uniflora"
"176","WTU","351781","Clintonia","FLOWER",192,1140,48.512222,-118.847222,8.4,9.43333333333333,83,114,-1.03333333333333,-31,1999,7,"uniflora"
"177","UBC","V36103","Clintonia","FLOWER",176,640,50.4,-118.916667,10.1333333333333,10.9666666666667,83,147,-0.833333333333334,-64,1950,6,"uniflora"
"178","WTU","96903","Clintonia","FLOWER",190,1128,48.78529,-119.12223,8.23333333333333,8.7,100,124,-0.466666666666667,-24,1921,7,"uniflora"
"179","UBC","V139719","Clintonia","FLOWER",193,1355,50.108293,-119.158142,5.56666666666667,6.9,152,172,-1.33333333333333,-20,1935,7,"uniflora"
"180","WTU","154091","Clintonia","FLOWER",209,1677,44.3426,-119.3444,5.63333333333333,8.06666666666667,187,109,-2.43333333333333,78,1953,7,"uniflora"
"181","RM",NA,"Clintonia","FLOWER",166,854,44.947778,-119.708611,12.3666666666667,12.3333333333333,94,96,0.0333333333333314,-2,2002,6,"uniflora"
